"","Rank","Name","Nation","Total Points","SP_rank","SP_score","FS_rank","FS_score","Year","Host","Discipline"
"591","15","Cynthia Phaneuf","Canada","146.09","15","53.14","14","92.95",2009,"United States","Ladies"
"592","16","Jelena Glebova","Estonia","140.02","13","55.90","17","84.12",2009,"United States","Ladies"
"593","17","Kim Na-Young","South Korea","131.50","17","51.50","21","80.00",2009,"United States","Ladies"
"594","18","Annette Dytrt","Germany","131.15","18","51.04","19","80.11",2009,"United States","Ladies"
"595","19","Anna Jurkiewicz","Poland","130.29","20","45.60","16","84.69",2009,"United States","Ladies"
"596","20","Jenna McCorkell","United Kingdom","128.67","21","45.52","18","83.15",2009,"United States","Ladies"
"597","21","Tuğba Karademir","Turkey","124.31","22","44.24","20","80.07",2009,"United States","Ladies"
"598","22","Candice Didier","France","122.08","19","50.16","22","71.92",2009,"United States","Ladies"
"599","23","Kerstin Frank","Austria","105.73","23","43.20","23","62.53",2009,"United States","Ladies"
"600","24","Ana Cecilia Cantu","Mexico","101.82","24","41.58","24","60.24",2009,"United States","Ladies"
"601","1","Mao Asada","Japan","185.56","2","64.10","2","121.46",2008,"Sweden","Ladies"
"602","2","Carolina Kostner","Italy","184.68","1","64.28","3","120.40",2008,"Sweden","Ladies"
"603","3","Kim Yuna","South Korea","183.23","5","59.85","1","123.38",2008,"Sweden","Ladies"
"604","4","Yukari Nakano","Japan","177.40","3","61.10","4","116.30",2008,"Sweden","Ladies"
"605","5","Joannie Rochette","Canada","174.12","6","59.53","5","114.59",2008,"Sweden","Ladies"
"606","6","Sarah Meier","Switzerland","171.88","7","59.49","6","112.39",2008,"Sweden","Ladies"
"607","7","Kimmie Meissner","United States","149.74","9","57.25","12","92.49",2008,"Sweden","Ladies"
"608","8","Laura Lepistö","Finland","147.26","21","45.41","7","101.85",2008,"Sweden","Ladies"
"609","9","Kiira Korpi","Finland","145.73","4","60.58","17","85.15",2008,"Sweden","Ladies"
"610","10","Beatrisa Liang","United States","145.29","10","52.81","13","92.48",2008,"Sweden","Ladies"
"611","11","Júlia Sebestyén","Hungary","145.17","19","47.04","8","98.13",2008,"Sweden","Ladies"
"612","12","Annette Dytrt","Germany","144.31","12","50.99","11","93.32",2008,"Sweden","Ladies"
"613","13","Valentina Marchei","Italy","142.93","17","48.89","9","94.04",2008,"Sweden","Ladies"
"614","14","Mira Leung","Canada","140.59","14","50.69","14","89.90",2008,"Sweden","Ladies"
"615","15","Jelena Glebova","Estonia","140.10","20","46.26","10","93.84",2008,"Sweden","Ladies"
"616","16","Ashley Wagner","United States","137.40","11","51.49","15","85.91",2008,"Sweden","Ladies"
"617","17","Ksenia Doronina","Russia","135.25","15","49.94","16","85.31",2008,"Sweden","Ladies"
"618","18","Viktoria Helgesson","Sweden","127.96","16","49.68","20","78.28",2008,"Sweden","Ladies"
"619","19","Kim Na-young","South Korea","127.32","18","47.96","19","79.36",2008,"Sweden","Ladies"
"620","20","Elene Gedevanishvili","Georgia","125.99","23","44.06","18","81.93",2008,"Sweden","Ladies"
"621","21","Anastasia Gimazetdinova","Uzbekistan","124.92","13","50.84","21","74.08",2008,"Sweden","Ladies"
"622","22","Tamar Katz","Israel","116.86","24","43.58","22","73.28",2008,"Sweden","Ladies"
"623","23","Melinda Sherilyn Wang","Chinese Taipei","116.12","22","44.77","23","71.35",2008,"Sweden","Ladies"
"624","WD","Miki Ando","Japan","","8","59.21","","",2008,"Sweden","Ladies"
"625","1","Miki Ando","Japan","195.09","2","67.98","2","127.11",2007,"Japan","Ladies"
"626","2","Mao Asada","Japan","194.45","5","61.32","1","133.13",2007,"Japan","Ladies"
"627","3","Yuna Kim","South Korea","186.14","1","71.95","4","114.19",2007,"Japan","Ladies"
"628","4","Kimmie Meissner","United States","180.23","4","64.67","3","115.56",2007,"Japan","Ladies"
"629","5","Yukari Nakano","Japan","168.92","7","60.62","6","108.30",2007,"Japan","Ladies"
"630","6","Carolina Kostner","Italy","168.92","3","67.15","9","101.77",2007,"Japan","Ladies"
"631","7","Sarah Meier","Switzerland","160.80","9","58.52","8","102.28",2007,"Japan","Ladies"
"632","8","Susanna Pöykiö","Finland","160.12","10","57.16","7","102.96",2007,"Japan","Ladies"
"633","9","Emily Hughes","United States","159.06","6","60.88","13","98.18",2007,"Japan","Ladies"
"634","10","Joannie Rochette","Canada","158.98","16","49.85","5","109.13",2007,"Japan","Ladies"
"635","11","Valentina Marchei","Italy","153.60","14","51.88","10","101.72",2007,"Japan","Ladies"
"636","12","Júlia Sebestyén","Hungary","153.50","8","59.98","15","93.52",2007,"Japan","Ladies"
"637","13","Elena Sokolova","Russia","149.77","11","55.83","14","93.94",2007,"Japan","Ladies"
"638","14","Kiira Korpi","Finland","149.47","17","49.63","11","99.84",2007,"Japan","Ladies"
"639","15","Alissa Czisny","United States","147.74","18","49.43","12","98.31",2007,"Japan","Ladies"
"640","16","Arina Martinova","Russia","145.28","12","54.69","16","90.59",2007,"Japan","Ladies"
"641","17","Elene Gedevanishvili","Georgia","144.40","13","53.97","17","90.43",2007,"Japan","Ladies"
"642","18","Jelena Glebova","Estonia","131.18","22","46.10","18","85.08",2007,"Japan","Ladies"
"643","19","Anastasia Gimazetdinova","Uzbekistan","130.44","15","49.99","20","80.45",2007,"Japan","Ladies"
"644","20","Joanne Carter","Australia","127.17","19","48.46","21","78.71",2007,"Japan","Ladies"
"645","21","Idora Hegel","Croatia","125.66","24","44.91","19","80.75",2007,"Japan","Ladies"
"646","22","Liu Yan","China","123.22","21","46.59","23","76.63",2007,"Japan","Ladies"
"647","23","Tamar Katz","Israel","122.51","23","45.66","22","76.85",2007,"Japan","Ladies"
"648","24","Mira Leung","Canada","120.74","20","47.05","24","73.69",2007,"Japan","Ladies"
"649","1","Kimmie Meissner","United States","218.33","5","60.17","1","129.70",2006,"Canada","Ladies"
"650","2","Fumie Suguri","Japan","209.74","2","62.12","2","119.15",2006,"Canada","Ladies"
"651","3","Sasha Cohen","United States","208.88","1","66.62","4","114.67",2006,"Canada","Ladies"
"652","4","Elena Sokolova","Russia","202.27","3","60.98","3","116.87",2006,"Canada","Ladies"
"653","5","Yukari Nakano","Japan","195.65","6","59.62","6","108.24",2006,"Canada","Ladies"
"654","6","Sarah Meier","Switzerland","195.11","4","60.51","5","109.96",2006,"Canada","Ladies"
"655","7","Joannie Rochette","Canada","189.41","7","56.38","8","103.75",2006,"Canada","Ladies"
"656","8","Emily Hughes","United States","184.75","10","54.23","7","104.84",2006,"Canada","Ladies"
"657","9","Susanna Pöykiö","Finland","180.06","9","54.28","9","102.65",2006,"Canada","Ladies"
"658","10","Kiira Korpi","Finland","176.65","11","53.32","10","97.89",2006,"Canada","Ladies"
"659","11","Yoshie Onda","Japan","172.46","12","52.49","12","96.58",2006,"Canada","Ladies"
"660","12","Carolina Kostner","Italy","172.45","16","48.95","11","97.86",2006,"Canada","Ladies"
"661","13","Mira Leung","Canada","168.80","14","49.49","13","94.54",2006,"Canada","Ladies"
"662","14","Elene Gedevanishvili","Georgia","164.92","8","54.55","17","89.65",2006,"Canada","Ladies"
"663","15","Idora Hegel","Croatia","163.58","17","48.31","14","92.01",2006,"Canada","Ladies"
"664","16","Liu Yan","China","159.05","19","46.17","15","91.72",2006,"Canada","Ladies"
"665","17","Amanda Nylander","Sweden","154.08","18","46.30","19","87.99",2006,"Canada","Ladies"
"666","18","Tuğba Karademir","Turkey","153.25","22","44.47","16","89.84",2006,"Canada","Ladies"
"667","19","Arina Martinova","Russia","149.89","15","48.96","21","81.98",2006,"Canada","Ladies"
"668","20","Galina Efremenko","Ukraine","149.65","21","44.69","18","88.74",2006,"Canada","Ladies"
"669","21","Anastasia Gimazetdinova","Uzbekistan","149.43","13","49.50","22","80.93",2006,"Canada","Ladies"
"670","22","Júlia Sebestyén","Hungary","142.30","24","38.53","20","84.00",2006,"Canada","Ladies"
"671","23","Valentina Marchei","Italy","141.51","20","45.06","23","77.33",2006,"Canada","Ladies"
"672","24","Annette Dytrt","Germany","137.31","23","41.90","24","75.94",2006,"Canada","Ladies"
"673","1","Sui Wenjing / Han Cong","China","234.84","2","79.24","1","155.6",2019,"Japan","Pairs"
"674","2","Evgenia Tarasova / Vladimir Morozov","Russia","228.47","1","81.21","2","147.26",2019,"Japan","Pairs"
"675","3","Natalia Zabiiako / Alexander Enbert","Russia","217.81","4","73.96","4","144.02",2019,"Japan","Pairs"
"676","4","Peng Cheng / Jin Yang","China","215.84","3","75.51","5","140.33",2019,"Japan","Pairs"
"677","5","Vanessa James / Morgan Ciprès","France","215.19","7","68.67","3","146.52",2019,"Japan","Pairs"
"678","6","Aleksandra Boikova / Dmitrii Kozlovskii","Russia","210.3","6","69.99","6","140.31",2019,"Japan","Pairs"
"679","7","Kirsten Moore-Towers / Michael Marinaro","Canada","200.02","5","73.08","8","126.94",2019,"Japan","Pairs"
"680","8","Nicole Della Monica / Matteo Guarise","Italy","195.74","8","67.29","7","128.45",2019,"Japan","Pairs"
"681","9","Ashley Cain / Timothy LeDuc","United States","193.81","9","66.93","9","126.88",2019,"Japan","Pairs"
"682","10","Miriam Ziegler / Severin Kiefer","Austria","178.66","11","63.65","11","115.01",2019,"Japan","Pairs"
"683","11","Ryom Tae-ok / Kim Ju-sik","North Korea","175.31","13","58.77","10","116.54",2019,"Japan","Pairs"
"684","12","Evelyn Walsh / Trennt Michaud","Canada","174.4","12","59.84","12","114.56",2019,"Japan","Pairs"
"685","13","Minerva Fabienne Hase / Nolan Seegert","Germany","174.04","10","64.28","14","109.76",2019,"Japan","Pairs"
"686","14","Annika Hocke / Ruben Blommaert","Germany","166.36","16","53.16","13","113.2",2019,"Japan","Pairs"
"687","15","Laura Barquero / Aritz Maestu","Spain","162.27","14","55.58","15","106.69",2019,"Japan","Pairs"
"688","16","Lana Petranović / Antonio Souza-Kordeiru","Croatia","153.99","15","53.7","17","100.29",2019,"Japan","Pairs"
"689","1","Aliona Savchenko / Bruno Massot","Germany","245.84","1","82.98","1","162.86",2018,"Italy","Pairs"
"690","2","Evgenia Tarasova / Vladimir Morozov","Russia","225.53","2","81.29","2","144.24",2018,"Italy","Pairs"
"691","3","Vanessa James / Morgan Ciprès","France","218.36","3","75.32","3","143.04",2018,"Italy","Pairs"
"692","4","Natalya Zabiyako / Alexander Enbert","Russia","207.88","4","74.38","6","133.50",2018,"Italy","Pairs"
"693","5","Nicole Della Monica / Matteo Guarise","Italy","206.06","5","72.53","5","133.53",2018,"Italy","Pairs"
"694","6","Kirsten Moore-Towers / Michael Marinaro","Canada","204.33","10","70.49","4","133.84",2018,"Italy","Pairs"
"695","7","Yu Xiaoyu / Zhang Hao","China","203.36","9","71.31","7","132.05",2018,"Italy","Pairs"
"696","8","Kristina Astakhova / Alexei Rogonov","Russia","202.16","7","71.62","9","130.54",2018,"Italy","Pairs"
"697","9","Peng Cheng / Jin Yang","China","202.07","6","71.98","10","130.09",2018,"Italy","Pairs"
"698","10","Valentina Marchei / Ondřej Hotárek","Italy","202.02","8","71.37","8","130.65",2018,"Italy","Pairs"
"699","11","Anna Dušková / Martin Bidař","Czech Republic","189.60","13","66.29","11","123.31",2018,"Italy","Pairs"
"700","12","Ryom Tae-ok / Kim Ju-sik","North Korea","188.77","12","66.32","12","122.45",2018,"Italy","Pairs"
"701","13","Annika Hocke / Ruben Blommaert","Germany","184.83","16","63.26","13","121.57",2018,"Italy","Pairs"
"702","14","Miriam Ziegler / Severin Kiefer","Austria","184.30","14","65.21","14","119.09",2018,"Italy","Pairs"
"703","15","Alexa Scimeca Knierim / Chris Knierim","United States","182.04","11","69.55","15","112.49",2018,"Italy","Pairs"
"704","16","Ekaterina Alexandrovskaya / Harley Windsor","Australia","177.46","15","65.02","16","112.44",2018,"Italy","Pairs"
"705","1","Sui Wenjing / Han Cong","China","232.06","1","81.23","1","150.83",2017,"Finland","Pairs"
"706","2","Aliona Savchenko / Bruno Massot","Germany","230.30","2","79.84","2","150.46",2017,"Finland","Pairs"
"707","3","Evgenia Tarasova / Vladimir Morozov","Russia","219.03","3","79.37","4","139.66",2017,"Finland","Pairs"
"708","4","Yu Xiaoyu / Zhang Hao","China","211.51","4","75.23","5","136.28",2017,"Finland","Pairs"
"709","5","Ksenia Stolbova / Fedor Klimov","Russia","206.72","13","65.69","3","141.03",2017,"Finland","Pairs"
"710","6","Liubov Ilyushechkina / Dylan Moscovitch","Canada","206.19","6","73.14","8","133.05",2017,"Finland","Pairs"
"711","7","Meagan Duhamel / Eric Radford","Canada","206.06","7","72.67","7","133.39",2017,"Finland","Pairs"
"712","8","Vanessa James / Morgan Cipres","France","204.68","10","70.10","6","134.58",2017,"Finland","Pairs"
"713","9","Valentina Marchei / Ondřej Hotárek","Italy","203.92","9","71.04","9","132.88",2017,"Finland","Pairs"
"714","10","Alexa Scimeca Knierim / Chris Knierim","United States","202.37","8","72.17","11","130.20",2017,"Finland","Pairs"
"715","11","Julianne Séguin / Charlie Bilodeau","Canada","198.21","12","66.31","10","131.90",2017,"Finland","Pairs"
"716","12","Natalia Zabiiako / Alexander Enbert","Russia","192.54","5","74.26","13","118.28",2017,"Finland","Pairs"
"717","13","Nicole Della Monica / Matteo Guarise","Italy","192.02","11","70.08","12","121.94",2017,"Finland","Pairs"
"718","14","Anna Dušková / Martin Bidař","Czech Republic","179.70","15","63.36","14","116.34",2017,"Finland","Pairs"
"719","15","Ryom Tae-ok / Kim Ju-sik","North Korea","169.65","14","64.52","15","105.13",2017,"Finland","Pairs"
"720","16","Ekaterina Alexandrovskaya / Harley Windsor","Australia","164.10","16","62.03","16","102.07",2017,"Finland","Pairs"
"721","1","Meagan Duhamel / Eric Radford","Canada","231.99","2","78.18","1","153.81",2016,"United States","Pairs"
"722","2","Sui Wenjing / Han Cong","China","224.47","1","80.85","2","143.62",2016,"United States","Pairs"
"723","3","Aliona Savchenko / Bruno Massot","Germany","216.17","4","74.22","3","141.95",2016,"United States","Pairs"
"724","4","Ksenia Stolbova / Fedor Klimov","Russia","214.48","5","73.98","4","140.50",2016,"United States","Pairs"
"725","5","Evgenia Tarasova / Vladimir Morozov","Russia","206.27","6","72.00","5","134.27",2016,"United States","Pairs"
"726","6","Tatiana Volosozhar / Maxim Trankov","Russia","205.81","3","77.13","7","128.68",2016,"United States","Pairs"
"727","7","Lubov Iliushechkina / Dylan Moscovitch","Canada","199.52","8","68.17","6","131.35",2016,"United States","Pairs"
"728","8","Kirsten Moore-Towers / Michael Marinaro","Canada","190.90","10","66.06","8","124.84",2016,"United States","Pairs"
"729","9","Alexa Scimeca / Chris Knierim","United States","190.06","7","71.37","12","118.69",2016,"United States","Pairs"
"730","10","Vanessa James / Morgan Ciprès","France","185.83","9","66.69","10","119.14",2016,"United States","Pairs"
"731","11","Nicole Della Monica / Matteo Guarise","Italy","183.81","11","65.32","13","118.49",2016,"United States","Pairs"
"732","12","Peng Cheng / Zhang Hao","China","182.46","12","60.01","9","122.45",2016,"United States","Pairs"
"733","13","Tarah Kayne / Daniel O'Shea","United States","178.23","14","59.27","11","118.96",2016,"United States","Pairs"
"734","14","Valentina Marchei / Ondřej Hotárek","Italy","170.73","13","59.76","15","110.97",2016,"United States","Pairs"
"735","15","Wang Xuehan / Wang Lei","China","168.64","15","57.32","14","111.33",2016,"United States","Pairs"
"736","16","Lola Esbrat / Andrei Novoselov","France","137.24","16","52.78","16","84.46",2016,"United States","Pairs"
"737","1","Meagan Duhamel / Eric Radford","Canada","221.53","1","76.98","1","144.55",2015,"China","Pairs"
"738","2","Sui Wenjing / Han Cong","China","214.12","3","71.63","2","142.49",2015,"China","Pairs"
"739","3","Pang Qing / Tong Jian","China","212.77","2","72.59","3","140.18",2015,"China","Pairs"
"740","4","Peng Cheng / Zhang Hao","China","206.63","5","69.67","4","136.96",2015,"China","Pairs"
"741","5","Yuko Kavaguti / Alexander Smirnov","Russia","198.91","4","71.59","6","127.32",2015,"China","Pairs"
"742","6","Evgenia Tarasova / Vladimir Morozov","Russia","198.46","6","67.71","5","130.75",2015,"China","Pairs"
"743","7","Alexa Scimeca / Chris Knierim","United States","185.81","7","65.56","7","120.25",2015,"China","Pairs"
"744","8","Julianne Séguin / Charlie Bilodeau","Canada","178.03","10","60.53","10","117.50",2015,"China","Pairs"
"745","9","Vanessa James / Morgan Ciprès","France","177.34","12","58.28","8","119.06",2015,"China","Pairs"
"746","10","Kristina Astakhova / Alexei Rogonov","Russia","173.58","13","55.55","9","118.03",2015,"China","Pairs"
"747","11","Valentina Marchei / Ondřej Hotárek","Italy","172.55","9","60.56","11","111.99",2015,"China","Pairs"
"748","12","Haven Denney / Brandon Frazier","United States","172.51","8","61.32","12","111.19",2015,"China","Pairs"
"749","13","Lubov Iliushechkina / Dylan Moscovitch","Canada","169.91","11","60.32","13","109.59",2015,"China","Pairs"
"750","14","Nicole Della Monica / Matteo Guarise","Italy","151.77","14","54.48","15","97.29",2015,"China","Pairs"
"751","15","Mari Vartmann / Aaron Van Cleave","Germany","147.84","15","47.76","14","100.08",2015,"China","Pairs"
"752","16","Amani Fancy / Christopher Boyadji","Great Britain","130.22","16","46.69","16","83.53",2015,"China","Pairs"
"753","1","Aliona Savchenko / Robin Szolkowy","Germany","224.88","1","79.02","1","145.86",2014,"Japan","Pairs"
"754","2","Ksenia Stolbova / Fedor Klimov","Russia","215.92","3","76.15","2","139.77",2014,"Japan","Pairs"
"755","3","Meagan Duhamel / Eric Radford","Canada","210.84","2","77.01","4","133.83",2014,"Japan","Pairs"
"756","4","Kirsten Moore-Towers / Dylan Moscovitch","Canada","205.52","6","69.31","3","136.21",2014,"Japan","Pairs"
"757","5","Peng Cheng / Zhang Hao","China","194.83","5","71.68","5","123.15",2014,"Japan","Pairs"
"758","6","Sui Wenjing / Han Cong","China","192.10","4","72.24","9","119.86",2014,"Japan","Pairs"
"759","7","Vera Bazarova / Yuri Larionov","Russia","189.44","7","67.41","6","122.03",2014,"Japan","Pairs"
"760","8","Julia Antipova / Nodari Maisuradze","Russia","186.22","8","66.78","10","119.44",2014,"Japan","Pairs"
"761","9","Stefania Berton / Ondřej Hotárek","Italy","184.28","10","62.73","7","121.55",2014,"Japan","Pairs"
"762","10","Vanessa James / Morgan Ciprès","France","183.90","9","64.01","8","119.89",2014,"Japan","Pairs"
"763","11","Marissa Castelli / Simon Shnapir","United States","170.90","11","60.60","11","110.30",2014,"Japan","Pairs"
"764","12","Paige Lawrence / Rudi Swiegers","Canada","168.88","12","59.84","12","109.04",2014,"Japan","Pairs"
"765","13","Maylin Wende / Daniel Wende","Germany","159.42","13","58.19","13","101.23",2014,"Japan","Pairs"
"766","14","Felicia Zhang / Nathan Bartholomay","United States","151.78","14","57.59","14","94.19",2014,"Japan","Pairs"
"767","15","Daria Popova / Bruno Massot","France","142.00","15","52.50","15","89.50",2014,"Japan","Pairs"
"768","16","Nicole Della Monica / Matteo Guarise","Italy","139.30","16","51.38","16","87.92",2014,"Japan","Pairs"
"769","1","Tatiana Volosozhar / Maxim Trankov","Russia","225.71","1","75.84","1","149.87",2013,"Canada","Pairs"
"770","2","Aliona Savchenko / Robin Szolkowy","Germany","205.56","3","73.47","2","132.09",2013,"Canada","Pairs"
"771","3","Meagan Duhamel / Eric Radford","Canada","204.56","2","73.61","3","130.95",2013,"Canada","Pairs"
"772","4","Kirsten Moore-Towers / Dylan Moscovitch","Canada","199.50","5","69.25","5","130.25",2013,"Canada","Pairs"
"773","5","Pang Qing / Tong Jian","China","194.64","6","63.95","4","130.69",2013,"Canada","Pairs"
"774","6","Yuko Kavaguti / Alexander Smirnov","Russia","191.59","4","69.98","7","121.61",2013,"Canada","Pairs"
"775","7","Vera Bazarova / Yuri Larionov","Russia","184.72","7","61.91","6","122.81",2013,"Canada","Pairs"
"776","8","Vanessa James / Morgan Ciprès","France","180.17","8","60.98","8","119.19",2013,"Canada","Pairs"
"777","9","Alexa Scimeca / Chris Knierim","United States","173.51","12","55.73","9","117.78",2013,"Canada","Pairs"
"778","10","Stefania Berton / Ondřej Hotárek","Italy","171.77","9","59.07","10","112.70",2013,"Canada","Pairs"
"779","11","Peng Cheng / Zhang Hao","China","167.18","10","58.52","11","108.66",2013,"Canada","Pairs"
"780","12","Sui Wenjing / Han Cong","China","165.89","11","57.65","13","108.24",2013,"Canada","Pairs"
"781","13","Marissa Castelli / Simon Shnapir","United States","164.00","13","55.68","12","108.32",2013,"Canada","Pairs"
"782","14","Nicole Della Monica / Matteo Guarise","Italy","136.03","15","47.82","14","88.21",2013,"Canada","Pairs"
"783","15","Stacey Kemp / David King","Great Britain","133.56","14","48.60","16","84.96",2013,"Canada","Pairs"
"784","16","Mari Vartmann / Aaron Van Cleave","Germany","133.12","16","47.36","15","85.76",2013,"Canada","Pairs"
"785","1","Aliona Savchenko / Robin Szolkowy","Germany","201.49","1","68.63","2","132.86",2012,"France","Pairs"
"786","2","Tatiana Volosozhar / Maxim Trankov","Russia","201.38","8","60.48","1","140.90",2012,"France","Pairs"
"787","3","Narumi Takahashi / Mervin Tran","Japan","189.69","3","65.37","3","124.32",2012,"France","Pairs"
"788","4","Pang Qing / Tong Jian","China","186.05","2","67.10","6","118.95",2012,"France","Pairs"
"789","5","Meagan Duhamel / Eric Radford","Canada","185.41","5","63.69","5","121.72",2012,"France","Pairs"
"790","6","Vera Bazarova / Yuri Larionov","Russia","183.68","4","65.02","7","118.66",2012,"France","Pairs"
"791","7","Yuko Kavaguti / Alexander Smirnov","Russia","182.42","11","59.59","4","122.83",2012,"France","Pairs"
"792","8","Caydee Denney / John Coughlin","United States","180.37","7","62.48","8","117.89",2012,"France","Pairs"
"793","9","Sui Wenjing / Han Cong","China","179.44","6","63.27","9","116.17",2012,"France","Pairs"
"794","10","Mary Beth Marley / Rockne Brubaker","United States","170.90","10","59.62","10","111.28",2012,"France","Pairs"
"795","11","Stefania Berton / Ondřej Hotárek","Italy","168.16","9","60.39","11","107.77",2012,"France","Pairs"
"796","12","Jessica Dubé / Sébastien Wolfe","Canada","156.36","12","55.83","12","100.53",2012,"France","Pairs"
"797","13","Maylin Hausch / Daniel Wende","Germany","145.80","15","48.48","13","97.32",2012,"France","Pairs"
"798","14","Mari Vartmann / Aaron van Cleave","Germany","143.29","16","47.91","14","95.38",2012,"France","Pairs"
"799","15","Nicole Della Monica / Matteo Guarise","Italy","137.31","14","49.07","15","88.24",2012,"France","Pairs"
"800","16","Vanessa James / Morgan Ciprès","France","130.70","13","50.51","16","80.19",2012,"France","Pairs"
"801","1","Aliona Savchenko / Robin Szolkowy","Germany","217.85","1","144.87",NA,NA,2011,"Russia","Pairs"
"802","2","Tatiana Volosozhar / Maxim Trankov","Russia","211.73","2","140.38",NA,NA,2011,"Russia","Pairs"
"803","3","Pang Qing / Tong Jian","China","204.12","3","130.12",NA,NA,2011,"Russia","Pairs"
"804","4","Yuko Kavaguti / Alexander Smirnov","Russia","187.36","4","124.82",NA,NA,2011,"Russia","Pairs"
"805","5","Vera Bazarova / Yuri Larionov","Russia","187.13","5","122.49",NA,NA,2011,"Russia","Pairs"
"806","6","Caitlin Yankowskas / John Coughlin","United States","175.94","6","117.18",NA,NA,2011,"Russia","Pairs"
"807","7","Meagan Duhamel / Eric Radford","Canada","173.03","7","114.20",NA,NA,2011,"Russia","Pairs"
"808","8","Kirsten Moore-Towers / Dylan Moscovitch","Canada","163.17","8","106.31",NA,NA,2011,"Russia","Pairs"
"809","9","Narumi Takahashi / Mervin Tran","Japan","160.10","10","100.94",NA,NA,2011,"Russia","Pairs"
"810","10","Stefania Berton / Ondřej Hotárek","Italy","157.15","11","99.52",NA,NA,2011,"Russia","Pairs"
"811","11","Amanda Evora / Mark Ladwig","United States","155.91","9","101.27",NA,NA,2011,"Russia","Pairs"
"812","12","Maylin Hausch / Daniel Wende","Germany","149.65","12","95.75",NA,NA,2011,"Russia","Pairs"
"813","13","Zhang Yue / Wang Lei","China","147.38","13","95.13",NA,NA,2011,"Russia","Pairs"
"814","14","Dong Huibo / Wu Yiming","China","137.75","14","88.46",NA,NA,2011,"Russia","Pairs"
"815","15","Klára Kadlecová / Petr Bidař","Czech Republic","132.51","15","87.31",NA,NA,2011,"Russia","Pairs"
"816","16","Natalya Zabiyako / Sergei Kulbach","Estonia","126.56","16","82.21",NA,NA,2011,"Russia","Pairs"
"817","1","Pang Qing / Tong Jian","China","211.39","1","75.28","1","136.11",2010,"Italy","Pairs"
"818","2","Aliona Savchenko / Robin Szolkowy","Germany","204.74","3","69.52","2","135.22",2010,"Italy","Pairs"
"819","3","Yuko Kavaguti / Alexander Smirnov","Russia","203.79","2","73.12","3","130.67",2010,"Italy","Pairs"
"820","4","Maria Mukhortova / Maxim Trankov","Russia","197.39","4","69.48","4","127.91",2010,"Italy","Pairs"
"821","5","Zhang Dan / Zhang Hao","China","195.78","5","69.20","5","126.58",2010,"Italy","Pairs"
"822","6","Jessica Dubé / Bryce Davison","Canada","177.07","8","59.36","6","117.71",2010,"Italy","Pairs"
"823","7","Caydee Denney / Jeremy Barrett","United States","172.47","6","60.52","8","111.95",2010,"Italy","Pairs"
"824","8","Vera Bazarova / Yuri Larionov","Russia","172.04","7","59.78","7","112.26",2010,"Italy","Pairs"
"825","9","Amanda Evora / Mark Ladwig","United States","165.96","9","57.74","9","108.22",2010,"Italy","Pairs"
